Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,HBSS_1 Spectral Count,HBSS_2 Spectral Count,HBSS_3 Spectral Count,HBSS_BafA1_1 Spectral Count,HBSS_BafA1_2 Spectral Count,HBSS_BafA1_3 Spectral Count,HBSS_1 Unique Spectral Count,HBSS_2 Unique Spectral Count,HBSS_3 Unique Spectral Count,HBSS_BafA1_1 Unique Spectral Count,HBSS_BafA1_2 Unique Spectral Count,HBSS_BafA1_3 Unique Spectral Count,HBSS_1 Total Spectral Count,HBSS_2 Total Spectral Count,HBSS_3 Total Spectral Count,HBSS_BafA1_1 Total Spectral Count,HBSS_BafA1_2 Total Spectral Count,HBSS_BafA1_3 Total Spectral Count,HBSS_1 Intensity,HBSS_2 Intensity,HBSS_3 Intensity,HBSS_BafA1_1 Intensity,HBSS_BafA1_2 Intensity,HBSS_BafA1_3 Intensity,HBSS_1 MaxLFQ Intensity,HBSS_2 MaxLFQ Intensity,HBSS_3 MaxLFQ Intensity,HBSS_BafA1_1 MaxLFQ Intensity,HBSS_BafA1_2 MaxLFQ Intensity,HBSS_BafA1_3 MaxLFQ Intensity,Indistinguishable Proteins
sp|P61764|STXB1_HUMAN,P61764,STXB1_HUMAN,STXBP1,594,Homo sapiens OX=9606,1:Experimental evidence at protein level,Syntaxin-binding protein 1,0.8422,0.9908,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|P61803|DAD1_HUMAN,P61803,DAD1_HUMAN,DAD1,113,Homo sapiens OX=9606,1:Experimental evidence at protein level,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,1,0.999,3,18,18,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4.28E+08,4.35E+08,4.31E+08,4.26E+08,4.32E+08,4.30E+08,2.49E+08,2.53E+08,2.52E+08,2.46E+08,2.50E+08,2.49E+08,
sp|P61916|NPC2_HUMAN,P61916,NPC2_HUMAN,NPC2,151,Homo sapiens OX=9606,1:Experimental evidence at protein level,NPC intracellular cholesterol transporter 2,1,0.999,6,27,27,27,3,4,6,4,5,5,3,4,6,4,5,5,3,4,6,4,5,5,1.36E+08,1.09E+08,1.30E+08,2.17E+08,2.30E+08,2.17E+08,6.53E+07,6.33E+07,6.41E+07,6.95E+07,6.79E+07,6.78E+07,
sp|P61923|COPZ1_HUMAN,P61923,COPZ1_HUMAN,COPZ1,177,Homo sapiens OX=9606,1:Experimental evidence at protein level,Coatomer subunit zeta-1,1,0.999,6,27,27,27,4,4,7,4,4,4,4,4,7,4,4,4,4,4,7,4,4,4,2.18E+08,2.26E+08,2.33E+08,2.04E+08,1.95E+08,2.13E+08,8.60E+07,8.30E+07,8.42E+07,8.27E+07,8.22E+07,8.24E+07,
sp|P61956|SUMO2_HUMAN,P61956,SUMO2_HUMAN,SUMO2,95,Homo sapiens OX=9606,1:Experimental evidence at protein level,Small ubiquitin-related modifier 2,1,0.999,3,39,33,39,5,8,6,8,6,6,4,7,5,7,5,5,5,8,6,8,6,6,1.61E+09,1.53E+09,1.29E+09,1.74E+09,1.45E+09,1.38E+09,6.56E+08,6.17E+08,6.00E+08,7.15E+08,6.83E+08,6.25E+08,
sp|P61960|UFM1_HUMAN,P61960,UFM1_HUMAN,UFM1,85,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin-fold modifier 1,1,0.999,2,7,7,7,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,3.67E+07,3.93E+07,3.79E+07,3.73E+07,5.46E+07,4.57E+07,0,0,0,0,4.75E+07,4.36E+07,
sp|P61962|DCAF7_HUMAN,P61962,DCAF7_HUMAN,DCAF7,342,Homo sapiens OX=9606,1:Experimental evidence at protein level,DDB1- and CUL4-associated factor 7,0.9998,0.999,2,5,5,5,0,1,2,1,1,0,0,1,2,1,1,0,0,1,2,1,1,0,0,6202908.5,1.75E+07,5312271.5,8743917,8397935,0,0,0,0,0,0,
sp|P61964|WDR5_HUMAN,P61964,WDR5_HUMAN,WDR5,334,Homo sapiens OX=9606,1:Experimental evidence at protein level,WD repeat-containing protein 5,1,0.999,7,43,43,43,7,7,6,8,7,8,7,7,6,8,7,8,7,7,6,8,7,8,6.23E+08,6.30E+08,6.15E+08,6.38E+08,6.03E+08,6.27E+08,1.56E+08,1.58E+08,1.55E+08,1.60E+08,1.45E+08,1.57E+08,
sp|P61966|AP1S1_HUMAN,P61966,AP1S1_HUMAN,AP1S1,158,Homo sapiens OX=9606,1:Experimental evidence at protein level,AP-1 complex subunit sigma-1A,0.9997,0.999,2,3,3,3,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,3.08E+07,5.93E+07,2.62E+07,2.65E+07,2.76E+07,0,0,0,0,0,0,0,
sp|P61970|NTF2_HUMAN,P61970,NTF2_HUMAN,NUTF2,127,Homo sapiens OX=9606,1:Experimental evidence at protein level,Nuclear transport factor 2,1,0.999,3,7,7,7,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1.85E+07,5404757.5,2.27E+07,0,1.42E+07,2.29E+07,1.45E+07,0,1.48E+07,0,0,0,
sp|P61978|HNRPK_HUMAN,P61978,HNRPK_HUMAN,HNRNPK,463,Homo sapiens OX=9606,1:Experimental evidence at protein level,Heterogeneous nuclear ribonucleoprotein K,1,0.999,23,252,252,252,41,42,42,41,43,43,41,42,42,41,43,43,41,42,42,41,43,43,1.70E+10,1.56E+10,1.69E+10,1.55E+10,1.69E+10,1.68E+10,1.74E+09,1.73E+09,1.74E+09,1.73E+09,1.74E+09,1.74E+09,
sp|P61981|1433G_HUMAN,P61981,1433G_HUMAN,YWHAG,247,Homo sapiens OX=9606,1:Experimental evidence at protein level,14-3-3 protein gamma,1,0.999,14,144,117,200,24,21,21,31,31,16,19,16,17,27,26,12,34,30,30,40,41,25,4.93E+09,4.91E+09,3.53E+09,3.69E+09,5.13E+09,4.67E+09,1.14E+09,1.13E+09,1.11E+09,1.12E+09,1.10E+09,1.12E+09,
sp|P62070|RRAS2_HUMAN,P62070,RRAS2_HUMAN,RRAS2,204,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ras-related protein R-Ras2,1,0.999,4,17,17,24,3,3,3,3,2,3,3,3,3,3,2,3,4,4,5,4,3,4,1.18E+08,1.28E+08,1.46E+08,1.30E+08,1.44E+08,1.16E+08,5.07E+07,5.53E+07,5.57E+07,5.37E+07,5.28E+07,5.01E+07,
sp|P62072|TIM10_HUMAN,P62072,TIM10_HUMAN,TIMM10,90,Homo sapiens OX=9606,1:Experimental evidence at protein level,Mitochondrial import inner membrane translocase subunit Tim10,0.9999,0.999,2,11,11,11,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,6.38E+07,7.11E+07,7.08E+07,8.16E+07,8.49E+07,7.26E+07,4.31E+07,4.74E+07,4.78E+07,5.38E+07,5.37E+07,4.84E+07,
sp|P62081|RS7_HUMAN,P62081,RS7_HUMAN,RPS7,194,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S7,1,0.999,11,81,81,81,12,14,13,14,15,13,12,14,13,14,15,13,12,14,13,14,15,13,2.97E+09,3.07E+09,4.14E+09,4.02E+09,4.01E+09,3.96E+09,1.44E+09,1.48E+09,1.52E+09,1.43E+09,1.42E+09,1.41E+09,
sp|P62136|PP1A_HUMAN,P62136,PP1A_HUMAN,PPP1CA,330,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,1,0.999,14,95,30,95,16,17,13,15,17,17,6,4,3,5,5,7,16,17,13,15,17,17,1.33E+09,1.36E+09,1.33E+09,1.30E+09,1.39E+09,1.28E+09,3.27E+08,3.19E+08,3.25E+08,3.24E+08,3.33E+08,3.20E+08,
sp|P62140|PP1B_HUMAN,P62140,PP1B_HUMAN,PPP1CB,327,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,1,0.999,12,24,24,83,4,4,4,5,3,4,4,4,4,5,3,4,13,16,13,14,14,13,3.34E+08,3.35E+08,3.26E+08,3.54E+08,3.53E+08,3.45E+08,1.78E+08,1.80E+08,1.75E+08,1.84E+08,1.91E+08,1.81E+08,
sp|P62191|PRS4_HUMAN,P62191,PRS4_HUMAN,PSMC1,440,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome regulatory subunit 4,1,0.999,16,84,84,92,15,15,12,13,14,15,15,15,12,13,14,15,16,17,13,13,16,17,1.74E+09,1.75E+09,1.73E+09,1.72E+09,1.67E+09,1.60E+09,5.11E+08,5.10E+08,5.13E+08,5.07E+08,5.02E+08,5.07E+08,
sp|P62195|PRS8_HUMAN,P62195,PRS8_HUMAN,PSMC5,406,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome regulatory subunit 8,1,0.999,16,100,92,100,17,17,18,16,17,15,16,15,17,16,15,13,17,17,18,16,17,15,7.64E+08,8.09E+08,7.34E+08,7.94E+08,7.98E+08,7.64E+08,1.57E+08,1.65E+08,1.63E+08,1.63E+08,1.62E+08,1.60E+08,
sp|P62241|RS8_HUMAN,P62241,RS8_HUMAN,RPS8,208,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S8,1,0.999,11,70,70,70,10,12,12,11,13,12,10,12,12,11,13,12,10,12,12,11,13,12,4.35E+09,4.37E+09,4.11E+09,4.29E+09,4.12E+09,4.19E+09,1.46E+09,1.46E+09,1.46E+09,1.48E+09,1.44E+09,1.47E+09,
sp|P62244|RS15A_HUMAN,P62244,RS15A_HUMAN,RPS15A,130,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S15a,1,0.999,7,54,54,54,8,9,10,9,8,10,8,9,10,9,8,10,8,9,10,9,8,10,1.34E+09,1.29E+09,1.39E+09,1.46E+09,1.37E+09,1.46E+09,6.02E+08,5.71E+08,6.18E+08,6.56E+08,6.39E+08,6.61E+08,
sp|P62249|RS16_HUMAN,P62249,RS16_HUMAN,RPS16,146,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S16,1,0.999,8,61,61,61,11,10,9,8,12,11,11,10,9,8,12,11,11,10,9,8,12,11,4.17E+09,4.13E+09,4.12E+09,4.04E+09,4.13E+09,4.00E+09,1.07E+09,1.06E+09,1.06E+09,1.04E+09,1.05E+09,1.03E+09,
sp|P62253|UB2G1_HUMAN,P62253,UB2G1_HUMAN,UBE2G1,170,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ubiquitin-conjugating enzyme E2 G1,1,0.9989,2,7,7,7,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,6383202,1.65E+07,1.72E+07,1.50E+07,1.57E+07,7221924,0,9672761,9799588,8876729,9300627,0,
sp|P62258|1433E_HUMAN,P62258,1433E_HUMAN,YWHAE,255,Homo sapiens OX=9606,1:Experimental evidence at protein level,14-3-3 protein epsilon,1,0.999,23,238,182,238,43,39,40,38,39,39,33,30,31,29,29,30,43,39,40,38,39,39,1.07E+10,1.01E+10,1.06E+10,1.07E+10,1.08E+10,1.01E+10,2.58E+09,2.57E+09,2.55E+09,2.59E+09,2.57E+09,2.56E+09,
sp|P62263|RS14_HUMAN,P62263,RS14_HUMAN,RPS14,151,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S14,1,0.999,9,73,73,73,12,15,12,12,11,11,12,15,12,12,11,11,12,15,12,12,11,11,4.71E+09,4.76E+09,4.75E+09,4.66E+09,4.63E+09,4.55E+09,1.65E+09,1.65E+09,1.65E+09,1.67E+09,1.68E+09,1.64E+09,
sp|P62266|RS23_HUMAN,P62266,RS23_HUMAN,RPS23,143,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S23,1,0.999,4,28,28,28,4,5,5,3,5,6,4,5,5,3,5,6,4,5,5,3,5,6,8.69E+08,8.58E+08,8.73E+08,9.66E+08,7.60E+08,9.41E+08,3.88E+08,3.70E+08,3.84E+08,4.25E+08,3.81E+08,4.14E+08,
sp|P62269|RS18_HUMAN,P62269,RS18_HUMAN,RPS18,152,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S18,1,0.999,14,76,76,76,12,14,14,13,12,11,12,14,14,13,12,11,12,14,14,13,12,11,2.78E+09,4.09E+09,2.80E+09,2.79E+09,2.82E+09,2.79E+09,8.93E+08,8.88E+08,8.79E+08,8.93E+08,9.05E+08,8.96E+08,
sp|P62273|RS29_HUMAN,P62273,RS29_HUMAN,RPS29,56,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S29,1,0.9989,3,17,17,17,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,4.50E+08,5.65E+08,6.06E+08,5.69E+08,5.75E+08,5.69E+08,3.11E+08,3.04E+08,3.23E+08,3.04E+08,3.10E+08,3.08E+08,
sp|P62277|RS13_HUMAN,P62277,RS13_HUMAN,RPS13,151,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S13,1,0.999,11,71,71,71,10,12,14,12,11,12,10,12,14,12,11,12,10,12,14,12,11,12,3.24E+09,3.27E+09,3.29E+09,3.14E+09,3.26E+09,3.22E+09,7.93E+08,7.89E+08,8.20E+08,7.85E+08,8.39E+08,8.03E+08,
sp|P62280|RS11_HUMAN,P62280,RS11_HUMAN,RPS11,158,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S11,1,0.999,14,82,82,82,14,14,13,14,12,15,14,14,13,14,12,15,14,14,13,14,12,15,6.90E+09,6.72E+09,6.80E+09,6.85E+09,6.80E+09,6.75E+09,9.35E+08,9.17E+08,9.25E+08,9.19E+08,9.27E+08,9.11E+08,
sp|P62304|RUXE_HUMAN,P62304,RUXE_HUMAN,SNRPE,92,Homo sapiens OX=9606,1:Experimental evidence at protein level,Small nuclear ribonucleoprotein E,0.9788,0.9989,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.22E+07,2.30E+07,2.52E+07,1.95E+07,2.63E+07,2.24E+07,0,0,0,0,0,0,
sp|P62306|RUXF_HUMAN,P62306,RUXF_HUMAN,SNRPF,86,Homo sapiens OX=9606,1:Experimental evidence at protein level,Small nuclear ribonucleoprotein F,1,0.999,3,28,28,28,4,4,6,5,5,4,4,4,6,5,5,4,4,4,6,5,5,4,6.36E+08,6.85E+08,6.56E+08,6.91E+08,6.63E+08,7.08E+08,3.35E+08,3.38E+08,3.46E+08,3.38E+08,3.25E+08,3.37E+08,
sp|P62310|LSM3_HUMAN,P62310,LSM3_HUMAN,LSM3,102,Homo sapiens OX=9606,1:Experimental evidence at protein level,U6 snRNA-associated Sm-like protein LSm3,1,0.999,2,10,10,10,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1.02E+08,9.63E+07,1.00E+08,1.03E+08,1.06E+08,1.02E+08,8.27E+07,7.75E+07,8.13E+07,7.95E+07,8.68E+07,8.46E+07,
sp|P62312|LSM6_HUMAN,P62312,LSM6_HUMAN,LSM6,80,Homo sapiens OX=9606,1:Experimental evidence at protein level,U6 snRNA-associated Sm-like protein LSm6,1,0.999,5,22,22,22,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,1.51E+08,1.58E+08,1.48E+08,1.70E+08,1.70E+08,1.71E+08,5.89E+07,5.67E+07,5.39E+07,6.41E+07,6.45E+07,6.56E+07,
sp|P62314|SMD1_HUMAN,P62314,SMD1_HUMAN,SNRPD1,119,Homo sapiens OX=9606,1:Experimental evidence at protein level,Small nuclear ribonucleoprotein Sm D1,1,0.999,4,47,47,47,7,8,8,8,8,8,7,8,8,8,8,8,7,8,8,8,8,8,7.79E+08,7.52E+08,7.55E+08,8.10E+08,8.54E+08,8.12E+08,2.73E+08,2.61E+08,2.64E+08,2.88E+08,2.96E+08,2.85E+08,
sp|P62316|SMD2_HUMAN,P62316,SMD2_HUMAN,SNRPD2,118,Homo sapiens OX=9606,1:Experimental evidence at protein level,Small nuclear ribonucleoprotein Sm D2,1,0.999,9,68,68,68,13,11,11,13,9,11,13,11,11,13,9,11,13,11,11,13,9,11,2.63E+09,2.73E+09,2.59E+09,2.70E+09,2.71E+09,2.63E+09,1.00E+09,9.87E+08,9.67E+08,9.80E+08,9.97E+08,9.60E+08,
sp|P62318|SMD3_HUMAN,P62318,SMD3_HUMAN,SNRPD3,126,Homo sapiens OX=9606,1:Experimental evidence at protein level,Small nuclear ribonucleoprotein Sm D3,1,0.999,2,23,23,23,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4.35E+08,4.50E+08,4.43E+08,4.71E+08,4.62E+08,4.46E+08,2.08E+08,2.20E+08,2.06E+08,2.15E+08,2.12E+08,2.05E+08,
sp|P62328|TYB4_HUMAN,P62328,TYB4_HUMAN,TMSB4X,44,Homo sapiens OX=9606,1:Experimental evidence at protein level,Thymosin beta-4,1,0.999,9,97,97,97,14,16,17,17,18,15,14,16,17,17,18,15,14,16,17,17,18,15,7.33E+09,7.94E+09,8.11E+09,8.57E+09,9.39E+09,8.86E+09,2.49E+09,2.47E+09,2.52E+09,2.84E+09,2.79E+09,2.79E+09,
sp|P62330|ARF6_HUMAN,P62330,ARF6_HUMAN,ARF6,175,Homo sapiens OX=9606,1:Experimental evidence at protein level,ADP-ribosylation factor 6,1,0.999,5,32,26,32,5,5,6,5,5,6,4,4,5,4,4,5,5,5,6,5,5,6,3.16E+08,3.23E+08,3.38E+08,3.20E+08,3.31E+08,3.21E+08,1.23E+08,1.24E+08,1.30E+08,1.24E+08,1.30E+08,1.28E+08,
sp|P62333|PRS10_HUMAN,P62333,PRS10_HUMAN,PSMC6,389,Homo sapiens OX=9606,1:Experimental evidence at protein level,26S proteasome regulatory subunit 10B,1,0.999,14,72,72,72,11,12,13,12,13,11,11,12,13,12,13,11,11,12,13,12,13,11,8.08E+08,7.68E+08,7.90E+08,8.31E+08,6.85E+08,8.19E+08,1.15E+08,1.10E+08,1.17E+08,1.21E+08,1.20E+08,1.18E+08,
sp|P62341|SELT_HUMAN,P62341,SELT_HUMAN,SELENOT,195,Homo sapiens OX=9606,1:Experimental evidence at protein level,Thioredoxin reductase-like selenoprotein T,0.9791,0.999,1,2,2,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2.05E+07,2.29E+07,2.16E+07,2.59E+07,2.14E+07,2.11E+07,0,0,0,0,0,0,
sp|P62424|RL7A_HUMAN,P62424,RL7A_HUMAN,RPL7A,266,Homo sapiens OX=9606,1:Experimental evidence at protein level,60S ribosomal protein L7a,1,0.999,18,147,147,147,26,25,23,24,23,26,26,25,23,24,23,26,26,25,23,24,23,26,8.31E+09,7.88E+09,8.18E+09,8.28E+09,8.16E+09,8.49E+09,1.46E+09,1.44E+09,1.45E+09,1.49E+09,1.50E+09,1.50E+09,
sp|P62487|RPB7_HUMAN,P62487,RPB7_HUMAN,POLR2G,172,Homo sapiens OX=9606,1:Experimental evidence at protein level,DNA-directed RNA polymerase II subunit RPB7,1,0.999,3,8,8,8,2,1,0,2,2,1,2,1,0,2,2,1,2,1,0,2,2,1,7.07E+07,7.50E+07,7.40E+07,5.89E+07,6.33E+07,5.77E+07,3.63E+07,3.90E+07,3.84E+07,4.06E+07,3.27E+07,3.21E+07,
sp|P62495|ERF1_HUMAN,P62495,ERF1_HUMAN,ETF1,437,Homo sapiens OX=9606,1:Experimental evidence at protein level,Eukaryotic peptide chain release factor subunit 1,1,0.999,12,69,69,69,12,13,12,11,11,10,12,13,12,11,11,10,12,13,12,11,11,10,7.72E+08,7.93E+08,7.44E+08,7.48E+08,7.33E+08,7.76E+08,1.25E+08,1.24E+08,1.24E+08,1.25E+08,1.28E+08,1.26E+08,
sp|P62633|CNBP_HUMAN,P62633,CNBP_HUMAN,CNBP,177,Homo sapiens OX=9606,1:Experimental evidence at protein level,CCHC-type zinc finger nucleic acid binding protein,1,0.999,7,62,62,62,10,11,11,10,9,11,10,11,11,10,9,11,10,11,11,10,9,11,1.62E+09,1.61E+09,1.56E+09,1.56E+09,1.55E+09,1.60E+09,3.63E+08,3.63E+08,3.51E+08,3.64E+08,3.58E+08,3.56E+08,
sp|P62701|RS4X_HUMAN,P62701,RS4X_HUMAN,RPS4X,263,Homo sapiens OX=9606,1:Experimental evidence at protein level,"40S ribosomal protein S4, X isoform",1,0.999,21,219,114,219,33,33,34,43,40,36,16,16,17,26,21,18,33,33,34,43,40,36,6.10E+09,6.25E+09,6.16E+09,6.08E+09,6.21E+09,6.15E+09,7.27E+08,7.34E+08,7.42E+08,7.33E+08,7.64E+08,7.48E+08,
sp|P62714|PP2AB_HUMAN,P62714,PP2AB_HUMAN,PPP2CB,309,Homo sapiens OX=9606,1:Experimental evidence at protein level,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,1,0.999,13,97,7,97,15,12,14,23,22,11,1,1,2,1,1,1,15,12,14,23,22,11,5.52E+08,5.28E+08,5.34E+08,6.42E+08,6.27E+08,5.33E+08,1.03E+08,1.01E+08,9.84E+07,1.04E+08,1.06E+08,1.02E+08,
sp|P62750|RL23A_HUMAN,P62750,RL23A_HUMAN,RPL23A,156,Homo sapiens OX=9606,1:Experimental evidence at protein level,60S ribosomal protein L23a,1,0.999,9,76,76,76,12,9,16,11,14,14,12,9,16,11,14,14,12,9,16,11,14,14,4.41E+09,4.31E+09,4.26E+09,4.38E+09,4.30E+09,4.32E+09,8.31E+08,8.29E+08,8.37E+08,8.40E+08,8.48E+08,8.20E+08,
sp|P62753|RS6_HUMAN,P62753,RS6_HUMAN,RPS6,249,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S6,1,0.999,11,80,80,80,14,15,12,12,14,13,14,15,12,12,14,13,14,15,12,12,14,13,2.66E+09,2.80E+09,3.27E+09,4.26E+09,3.31E+09,3.28E+09,1.23E+09,1.21E+09,1.24E+09,1.20E+09,1.22E+09,1.20E+09,
sp|P62805|H4_HUMAN,P62805,H4_HUMAN,H4-16,103,Homo sapiens OX=9606,1:Experimental evidence at protein level,Histone H4,1,0.999,13,454,454,454,72,72,72,73,85,80,72,72,72,73,85,80,72,72,72,73,85,80,1.14E+11,1.41E+11,1.39E+11,1.37E+11,1.39E+11,1.34E+11,3.59E+10,3.55E+10,3.55E+10,3.66E+10,3.83E+10,3.60E+10,
sp|P62820|RAB1A_HUMAN,P62820,RAB1A_HUMAN,RAB1A,205,Homo sapiens OX=9606,1:Experimental evidence at protein level,Ras-related protein Rab-1A,1,0.999,12,47,25,65,7,7,9,6,9,9,3,4,5,4,5,4,10,10,12,9,12,12,1.96E+09,1.95E+09,2.07E+09,1.95E+09,2.25E+09,2.05E+09,3.91E+08,3.85E+08,3.81E+08,3.96E+08,3.96E+08,4.14E+08,
sp|P62826|RAN_HUMAN,P62826,RAN_HUMAN,RAN,216,Homo sapiens OX=9606,1:Experimental evidence at protein level,GTP-binding nuclear protein Ran,1,0.999,11,94,94,94,14,17,17,15,16,15,14,17,17,15,16,15,14,17,17,15,16,15,8.16E+09,8.28E+09,8.05E+09,7.92E+09,6.79E+09,7.97E+09,1.54E+09,1.57E+09,1.55E+09,1.52E+09,1.63E+09,1.55E+09,
sp|P62829|RL23_HUMAN,P62829,RL23_HUMAN,RPL23,140,Homo sapiens OX=9606,1:Experimental evidence at protein level,60S ribosomal protein L23,1,0.999,8,70,70,70,10,13,12,9,12,14,10,13,12,9,12,14,10,13,12,9,12,14,3.51E+09,3.34E+09,3.67E+09,2.87E+09,2.99E+09,3.61E+09,8.50E+08,8.45E+08,8.51E+08,8.15E+08,8.21E+08,8.11E+08,
sp|P62841|RS15_HUMAN,P62841,RS15_HUMAN,RPS15,145,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S15,1,0.999,2,26,26,26,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,1.55E+09,1.58E+09,1.53E+09,1.50E+09,1.50E+09,1.55E+09,9.46E+08,9.59E+08,9.31E+08,9.16E+08,9.18E+08,9.61E+08,
sp|P62847|RS24_HUMAN,P62847,RS24_HUMAN,RPS24,133,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S24,1,0.999,4,33,33,33,6,4,6,5,7,5,6,4,6,5,7,5,6,4,6,5,7,5,6.28E+08,6.26E+08,6.48E+08,5.83E+08,6.40E+08,6.08E+08,4.70E+08,4.75E+08,4.84E+08,4.28E+08,4.81E+08,4.48E+08,
sp|P62851|RS25_HUMAN,P62851,RS25_HUMAN,RPS25,125,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S25,1,0.9989,5,26,26,26,4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,5,5,4,3.44E+08,3.33E+08,3.38E+08,3.24E+08,3.28E+08,3.50E+08,1.26E+08,1.20E+08,1.21E+08,1.21E+08,1.23E+08,1.18E+08,
sp|P62854|RS26_HUMAN,P62854,RS26_HUMAN,RPS26,115,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S26,1,0.999,3,23,11,23,3,4,4,4,4,4,1,2,2,2,2,2,3,4,4,4,4,4,1.89E+09,1.88E+09,1.87E+09,1.83E+09,1.84E+09,1.84E+09,1.15E+09,1.16E+09,1.15E+09,1.10E+09,1.11E+09,1.15E+09,
sp|P62857|RS28_HUMAN,P62857,RS28_HUMAN,RPS28,69,Homo sapiens OX=9606,1:Experimental evidence at protein level,40S ribosomal protein S28,1,0.999,2,20,20,20,3,2,3,4,4,4,3,2,3,4,4,4,3,2,3,4,4,4,1.79E+09,1.81E+09,1.80E+09,1.75E+09,1.84E+09,1.76E+09,9.19E+08,9.23E+08,9.07E+08,8.72E+08,8.86E+08,8.57E+08,
sp|P62873|GBB1_HUMAN,P62873,GBB1_HUMAN,GNB1,340,Homo sapiens OX=9606,1:Experimental evidence at protein level,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,1,0.999,10,65,46,65,9,12,12,11,10,11,6,8,9,8,7,8,9,12,12,11,10,11,9.43E+08,9.43E+08,9.66E+08,9.52E+08,9.45E+08,9.57E+08,2.83E+08,2.86E+08,2.88E+08,2.88E+08,2.83E+08,2.86E+08,
sp|P62875|RPAB5_HUMAN,P62875,RPAB5_HUMAN,POLR2L,67,Homo sapiens OX=9606,1:Experimental evidence at protein level,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",0.9017,0.9946,1,2,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2.41E+07,2.34E+07,2.25E+07,2.56E+07,2.36E+07,2.35E+07,0,0,0,0,0,0,
sp|P62877|RBX1_HUMAN,P62877,RBX1_HUMAN,RBX1,108,Homo sapiens OX=9606,1:Experimental evidence at protein level,E3 ubiquitin-protein ligase RBX1,1,0.999,2,8,8,8,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1.34E+08,1.26E+08,1.28E+08,1.26E+08,1.22E+08,1.30E+08,8.86E+07,8.45E+07,8.42E+07,8.25E+07,8.11E+07,8.59E+07,
sp|P62879|GBB2_HUMAN,P62879,GBB2_HUMAN,GNB2,340,Homo sapiens OX=9606,1:Experimental evidence at protein level,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,1,0.999,10,40,19,59,7,6,6,6,9,6,3,3,3,3,4,3,10,10,9,9,12,9,8.36E+08,8.02E+08,8.59E+08,9.03E+08,8.75E+08,8.56E+08,2.44E+08,2.36E+08,2.47E+08,2.53E+08,2.56E+08,2.42E+08,
